Date,sleep_duration,sleep_efficiency,sleep_start_time,sleep_end_time,minutes_after_wakeup,minutes_asleep,minutes_awake,minutes_to_fall_asleep,time_in_bed,deep_sleep,rem_sleep,wake_sleep,light_sleep
2018-09-13,7.5,91,2018-09-12T23:52:00.000,2018-09-13T07:22:30.000,0,374,76,0,450,85,55,76,234
2018-09-14,6.85,92,2018-09-14T00:38:30.000,2018-09-14T07:29:30.000,0,359,52,0,411,34,92,52,233
2018-09-15,7.016666666666667,91,2018-09-15T01:30:00.000,2018-09-15T08:31:00.000,0,374,47,0,421,85,56,47,233
2018-09-16,8.133333333333333,90,2018-09-16T00:47:00.000,2018-09-16T08:55:30.000,1,424,64,0,488,49,84,64,291
2018-09-17,5.75,89,2018-09-17T00:00:00.000,2018-09-17T05:45:00.000,0,300,45,0,345,47,35,45,218
2018-09-18,5.566666666666666,92,2018-09-18T00:11:30.000,2018-09-18T05:45:30.000,0,293,41,0,334,40,60,41,193
2018-09-18,5.566666666666666,92,2018-09-18T00:11:30.000,2018-09-18T05:45:30.000,0,293,41,0,334,40,60,41,193
2018-09-19,7.983333333333333,95,2018-09-18T23:31:30.000,2018-09-19T07:30:30.000,0,427,52,0,479,60,72,52,295
2018-09-20,6.883333333333334,96,2018-09-20T00:37:00.000,2018-09-20T07:30:00.000,0,395,18,0,413,91,127,50,207
2018-09-21,7.916666666666667,95,2018-09-20T23:31:30.000,2018-09-21T07:26:30.000,2,425,50,0,475,91,127,50,207
2018-09-22,7.366666666666666,96,2018-09-22T00:34:00.000,2018-09-22T07:56:30.000,1,396,46,0,442,86,75,46,235
2018-09-23,8.4,95,2018-09-23T00:21:30.000,2018-09-23T08:45:30.000,2,443,61,0,504,61,93,61,289
2018-09-24,7.216666666666667,93,2018-09-24T00:15:00.000,2018-09-24T07:28:30.000,0,386,47,0,433,98,78,47,210
2018-09-25,7.1,92,2018-09-25T00:25:00.000,2018-09-25T07:31:30.000,1,390,35,0,426,58,101,30,214
2018-09-26,6.716666666666667,97,2018-09-26T00:44:30.000,2018-09-26T07:27:30.000,4,373,30,0,403,58,101,30,214
2018-09-27,7.633333333333334,95,2018-09-26T23:44:30.000,2018-09-27T07:22:30.000,0,410,48,0,458,74,65,48,271
2018-09-28,6.733333333333333,94,2018-09-27T23:58:00.000,2018-09-28T06:42:30.000,1,358,46,0,404,49,62,46,247
2018-09-28,1.1333333333333333,94,2018-09-28T15:34:00.000,2018-09-28T16:42:30.000,0,64,4,0,68,62,72,48,274
2018-09-29,7.6,94,2018-09-29T01:34:00.000,2018-09-29T09:10:00.000,0,408,48,3,456,62,72,48,274
2018-09-30,8.366666666666667,95,2018-09-30T00:00:00.000,2018-09-30T08:22:00.000,0,439,63,26,502,78,101,63,260
2018-10-01,7.016666666666667,95,2018-10-01T00:27:00.000,2018-10-01T07:28:00.000,15,354,67,14,421,72,55,67,227
2018-10-02,6.733333333333333,95,2018-10-02T00:45:00.000,2018-10-02T07:29:30.000,0,381,23,0,404,72,115,23,194
2018-10-03,6.816666666666666,96,2018-10-03T00:42:30.000,2018-10-03T07:31:30.000,2,349,60,0,409,53,41,60,255
2018-10-04,6.883333333333334,91,2018-10-04T00:20:00.000,2018-10-04T07:13:30.000,0,352,61,0,413,63,53,61,236
2018-10-05,6.9,94,2018-10-05T00:43:30.000,2018-10-05T07:37:30.000,0,364,50,0,414,37,79,50,248
2018-10-06,8.05,92,2018-10-05T22:55:00.000,2018-10-06T06:58:30.000,0,431,52,0,483,82,78,52,271
2018-10-07,8.4,96,2018-10-06T23:42:30.000,2018-10-07T08:06:30.000,1,456,48,0,504,74,89,48,293
2018-10-08,7.15,93,2018-10-08T00:21:00.000,2018-10-08T07:30:00.000,0,391,38,2,429,85,63,38,243
2018-10-09,6.116666666666666,96,2018-10-09T00:54:00.000,2018-10-09T07:01:30.000,1,334,33,0,367,57,83,33,194
2018-10-10,7.1,92,2018-10-10T00:24:30.000,2018-10-10T07:30:30.000,0,366,60,0,426,87,47,60,232
2018-10-11,6.733333333333333,94,2018-10-10T23:47:00.000,2018-10-11T06:31:30.000,0,364,40,0,404,68,59,40,237
2018-10-12,7.733333333333333,92,2018-10-11T23:51:00.000,2018-10-12T07:35:00.000,2,421,43,2,464,60,74,43,287
2018-10-13,8.133333333333333,91,2018-10-13T00:17:00.000,2018-10-13T08:25:00.000,0,436,52,1,488,61,90,52,285
2018-10-13,1.05,100,2018-10-13T16:17:30.000,2018-10-13T17:20:30.000,0,63,0,0,63,86,116,44,218
2018-10-14,7.733333333333333,91,2018-10-14T00:25:30.000,2018-10-14T08:09:30.000,0,420,44,0,464,86,116,44,218
2018-10-15,6.816666666666666,96,2018-10-15T00:43:00.000,2018-10-15T07:32:30.000,2,373,36,0,409,65,39,36,269
2018-10-16,8.0,92,2018-10-15T23:30:00.000,2018-10-16T07:30:00.000,1,423,57,12,480,88,85,57,250
2018-10-17,8.0,97,2018-10-16T23:30:00.000,2018-10-17T07:30:00.000,0,430,50,38,480,48,102,50,280
2018-10-18,7.9,95,2018-10-17T23:32:00.000,2018-10-18T07:26:30.000,0,436,38,0,474,52,123,38,261
2018-10-18,7.9,95,2018-10-17T23:32:00.000,2018-10-18T07:26:30.000,0,436,38,0,474,52,123,38,261
2018-10-19,7.133333333333334,93,2018-10-19T00:23:00.000,2018-10-19T07:31:30.000,0,382,46,0,428,46,81,46,255
2018-10-20,7.233333333333333,97,2018-10-20T00:11:30.000,2018-10-20T07:25:30.000,1,394,40,0,434,64,40,40,290
2018-10-21,7.9,95,2018-10-20T23:36:30.000,2018-10-21T07:30:30.000,0,421,53,0,474,84,82,53,255
2018-10-22,6.116666666666666,93,2018-10-22T01:22:30.000,2018-10-22T07:29:30.000,0,335,32,0,367,66,83,32,186
2018-10-23,7.233333333333333,94,2018-10-23T00:13:30.000,2018-10-23T07:27:30.000,0,385,49,0,434,61,47,49,277
2018-10-24,6.683333333333334,94,2018-10-24T00:49:00.000,2018-10-24T07:30:30.000,0,367,34,0,401,40,63,34,264
2018-10-25,7.0,97,2018-10-25T00:23:30.000,2018-10-25T07:23:30.000,0,377,43,0,420,32,71,43,274
2018-10-26,6.366666666666666,97,2018-10-26T00:52:30.000,2018-10-26T07:15:00.000,0,345,37,0,382,57,67,37,221
2018-10-27,7.383333333333334,97,2018-10-27T00:58:30.000,2018-10-27T08:21:30.000,0,404,39,0,443,75,79,39,250
2018-10-28,7.8,98,2018-10-28T00:30:00.000,2018-10-28T08:18:00.000,6,427,41,14,468,85,112,41,230
2018-10-29,7.0,91,2018-10-29T00:25:00.000,2018-10-29T07:25:30.000,0,367,53,0,420,86,74,53,207
2018-10-30,6.883333333333334,91,2018-10-30T00:36:00.000,2018-10-30T07:29:30.000,0,368,45,0,413,75,62,45,231
2018-10-31,7.233333333333333,98,2018-10-30T23:50:30.000,2018-10-31T07:04:30.000,0,404,30,0,434,72,95,30,237
2018-11-01,6.133333333333334,92,2018-11-01T00:55:30.000,2018-11-01T07:04:00.000,4,323,45,0,368,64,46,45,213
2018-11-02,6.75,97,2018-11-02T00:17:30.000,2018-11-02T07:03:00.000,0,358,47,0,405,58,43,47,257
2018-11-03,6.483333333333333,97,2018-11-03T01:03:00.000,2018-11-03T07:32:30.000,13,345,44,0,389,61,38,44,246
2018-11-04,7.433333333333334,97,2018-11-04T00:16:00.000,2018-11-04T07:42:00.000,9,412,12,13,446,24,70,46,259
2018-11-05,6.65,96,2018-11-05T00:34:00.000,2018-11-05T07:13:30.000,0,353,46,0,399,24,70,46,259
2018-11-06,7.083333333333333,96,2018-11-06T00:11:00.000,2018-11-06T07:16:30.000,0,383,42,0,425,46,73,42,264
2018-11-07,6.066666666666666,98,2018-11-07T00:55:30.000,2018-11-07T06:59:30.000,0,335,29,0,364,63,77,29,195
2018-11-08,7.366666666666666,95,2018-11-07T23:49:30.000,2018-11-08T07:11:30.000,0,404,38,0,442,39,90,38,275
2018-11-09,6.783333333333333,93,2018-11-09T00:13:30.000,2018-11-09T07:00:30.000,0,368,39,0,407,68,99,39,201
2018-11-10,7.25,94,2018-11-10T00:30:30.000,2018-11-10T07:45:30.000,0,379,56,0,435,67,56,56,256
2018-11-11,7.016666666666667,94,2018-11-11T02:48:30.000,2018-11-11T09:49:30.000,0,370,51,0,421,77,51,51,242
2018-11-12,6.466666666666667,97,2018-11-12T00:30:30.000,2018-11-12T06:59:00.000,0,359,29,0,388,63,69,29,227
2018-11-13,6.2,95,2018-11-13T00:47:30.000,2018-11-13T06:59:30.000,0,341,31,0,372,36,74,31,231
2018-11-14,7.016666666666667,96,2018-11-13T23:58:00.000,2018-11-14T06:59:00.000,0,391,30,0,421,64,95,30,232
