ExerciseDate,ExerciseActivityName,ExerciseActiveDuration,ExerciseAverageHeartRate,ExerciseCalories,ExerciseDuration,ExerciseElevationGain,ExerciseSteps,ExerciseSedentaryMinutes,ExerciseLightMinutes,ExerciseFairlyActiveMinutes,ExerciseVeryActiveMinutes,ExerciseOutOfRangeMaxHR,ExerciseOutOfRangeMinHR,ExerciseOutOfRangeMinutes,ExerciseFatBurnMaxHR,ExerciseFatBurnMinHR,ExerciseFatBurnMinutes,ExerciseCardioMaxHR,ExerciseCardioMinHR,ExerciseCardioMinutes,ExercisePeakMaxHR,ExercisePeakMinHR,ExercisePeakMinutes,Speed,Pace,ExerciseDistance,Year,Month,Day,YearMonthDay
2018-09-13 21:19:06,Weights,3020000,122,559,3029000,27.998688,1125,0,0,1,49,96,30,0,135,96,46,164,135,4,220,164,0,0.0,0.0,0.0,2018,9,13,2018-09-13
2018-09-14 21:14:37,Weights,3367000,114,526,3398000,28.999344,989,7,2,9,38,96,30,15,135,96,33,164,135,9,220,164,0,0.0,0.0,0.0,2018,9,14,2018-09-14
2018-09-14 23:16:43,Walk,921000,104,157,921000,40.0,1483,0,1,1,14,96,30,3,135,96,13,164,135,0,220,164,0,0.0,0.0,0.0,2018,9,14,2018-09-14
2018-09-15 00:10:27,Walk,1024000,97,156,1024000,30.0,1517,0,1,2,14,96,30,6,135,96,11,164,135,0,220,164,0,0.0,0.0,0.0,2018,9,15,2018-09-15
2018-09-15 13:55:55,Run,2096000,159,535,2687000,142.998688,5486,1,0,1,32,96,30,1,135,96,1,164,135,16,220,164,17,6.937553816793893,518.9148935011357,4.04383,2018,9,15,2018-09-15
2018-09-15 16:27:43,Walk,1330000,106,218,1330000,20.0,1743,0,0,3,19,96,30,1,135,96,21,164,135,0,220,164,0,0.0,0.0,0.0,2018,9,15,2018-09-15
2018-09-15 17:14:37,Walk,1433000,91,197,1433000,40.0,1796,0,2,4,17,96,30,15,135,96,9,164,135,0,220,164,0,0.0,0.0,0.0,2018,9,15,2018-09-15
2018-09-16 15:08:32,Walk,3071000,92,414,3071000,90.0,3877,6,4,9,32,96,30,22,135,96,29,164,135,0,220,164,0,0.0,0.0,0.0,2018,9,16,2018-09-16
2018-09-16 16:02:59,Workout,2132000,141,487,2916000,13.999344,1471,0,1,1,34,96,30,0,135,96,10,164,135,25,220,164,0,0.0,0.0,0.0,2018,9,16,2018-09-16
2018-09-16 17:40:22,Walk,1792000,99,287,1792000,100.0,2934,0,0,1,29,96,30,8,135,96,22,164,135,0,220,164,0,0.0,0.0,0.0,2018,9,16,2018-09-16
2018-09-17 21:40:37,Run,1094000,162,336,1253000,82.998688,2858,0,0,0,20,96,30,0,135,96,1,164,135,8,220,164,10,6.7255502742230355,535.2721863960622,2.042801,2018,9,17,2018-09-17
2018-09-19 21:17:15,Weights,3056000,99,377,3058000,17.001312,863,9,5,10,26,96,30,20,135,96,31,164,135,0,220,164,0,0.0,0.0,0.0,2018,9,19,2018-09-19
2018-09-20 21:33:23,Walk,1434000,100,231,1434000,10.0,1903,0,0,1,23,96,30,3,135,96,21,164,135,0,220,164,0,0.0,0.0,0.0,2018,9,20,2018-09-20
2018-09-20 21:54:30,Weights,2553000,111,398,2555000,12.001312,761,5,10,1,26,96,30,10,135,96,29,164,135,4,220,164,0,0.0,0.0,0.0,2018,9,20,2018-09-20
2018-09-20 22:38:23,Bike,1173000,132,243,1175000,0.0,0,0,0,0,19,96,30,0,135,96,8,164,135,11,220,164,0,0.0,0.0,0.0,2018,9,20,2018-09-20
2018-09-21 21:28:27,Walk,1331000,83,179,1331000,10.0,1972,0,1,4,17,96,30,18,135,96,4,164,135,0,220,164,0,0.0,0.0,0.0,2018,9,21,2018-09-21
