Date,BELOW_DEFAULT_ZONE_1,IN_DEFAULT_ZONE_1,IN_DEFAULT_ZONE_2,IN_DEFAULT_ZONE_3
2018-09-12,167.0,0.0,0.0,0.0
2018-09-13,1163.0,90.0,4.0,0.0
2018-09-14,1103.0,92.0,9.0,0.0
2018-09-15,1081.0,56.0,27.0,23.0
2018-09-16,1159.0,70.0,34.0,0.0
2018-09-17,1198.0,23.0,8.0,11.0
2018-09-18,1230.0,46.0,2.0,2.0
2018-09-19,1236.0,54.0,0.0,0.0
2018-09-20,1142.0,80.0,15.0,0.0
2018-09-21,1246.0,31.0,0.0,0.0
2018-09-22,1061.0,69.0,35.0,13.0
2018-09-23,1136.0,0.0,0.0,0.0
2018-09-24,1162.0,69.0,15.0,0.0
2018-09-25,1257.0,76.0,2.0,0.0
2018-09-26,1181.0,22.0,0.0,0.0
2018-09-27,1133.0,65.0,2.0,0.0
2018-09-28,1144.0,1.0,0.0,0.0
2018-09-29,1045.0,38.0,34.0,11.0
2018-09-30,1120.0,42.0,0.0,0.0
2018-10-01,1187.0,59.0,8.0,0.0
2018-10-02,1217.0,64.0,4.0,0.0
2018-10-03,1215.0,16.0,0.0,0.0
2018-10-04,1251.0,36.0,0.0,0.0
2018-10-05,1291.0,27.0,1.0,0.0
2018-10-06,1112.0,34.0,41.0,10.0
2018-10-07,1172.0,32.0,0.0,0.0
2018-10-08,1151.0,78.0,8.0,0.0
2018-10-09,1248.0,97.0,15.0,0.0
2018-10-10,1296.0,15.0,0.0,0.0
2018-10-11,1155.0,72.0,3.0,0.0
2018-10-12,1312.0,13.0,0.0,0.0
2018-10-13,1174.0,32.0,32.0,15.0
2018-10-14,1167.0,49.0,0.0,0.0
2018-10-15,1192.0,11.0,0.0,0.0
2018-10-16,1090.0,22.0,0.0,0.0
2018-10-17,1269.0,17.0,0.0,0.0
2018-10-18,1162.0,1.0,0.0,0.0
2018-10-19,1183.0,57.0,10.0,0.0
2018-10-20,1228.0,38.0,0.0,0.0
2018-10-21,1139.0,31.0,0.0,0.0
2018-10-22,1096.0,47.0,1.0,0.0
2018-10-23,1081.0,58.0,5.0,0.0
2018-10-24,1167.0,8.0,0.0,0.0
2018-10-25,1197.0,62.0,7.0,0.0
2018-10-26,1158.0,11.0,0.0,0.0
