Date,LightActiveMinutes
2018-09-12,0
2018-09-13,0
2018-09-14,0
2018-09-15,0
2018-09-16,0
2018-09-17,0
2018-09-18,0
2018-09-19,0
2018-09-20,0
2018-09-21,0
2018-09-22,0
2018-09-23,0
2018-09-24,0
2018-09-25,0
2018-09-26,0
2018-09-27,0
2018-09-28,0
2018-09-29,0
2018-09-30,0
2018-10-01,0
2018-10-02,0
2018-10-03,115
2018-10-04,115
2018-10-05,96
2018-10-06,105
2018-10-07,124
2018-10-08,73
2018-10-09,101
2018-10-10,122
2018-10-11,105
2018-10-12,128
2018-10-13,111
2018-10-14,76
2018-10-15,121
2018-10-16,86
2018-10-17,86
2018-10-18,104
2018-10-19,103
2018-10-20,146
2018-10-21,94
2018-10-22,146
2018-10-23,60
2018-10-24,170
2018-10-25,102
2018-10-26,108
2018-10-27,97
2018-10-28,70
2018-10-29,107
2018-10-30,118
2018-10-31,81
2018-11-01,100
2018-11-02,0
2018-11-03,0
2018-11-04,0
2018-11-05,0
2018-11-06,0
2018-11-07,0
2018-11-08,0
2018-11-09,0
2018-11-10,0
2018-11-11,0
2018-11-12,0
2018-11-13,0
2018-11-14,0
2018-11-15,0
2018-11-16,0
2018-11-17,0
2018-11-18,0
2018-11-19,0
2018-11-20,0
2018-11-21,0
2018-11-22,0
2018-11-23,0
2018-11-24,0
2018-11-25,0
2018-11-26,0
2018-11-27,0
2018-11-28,0
2018-11-29,0
2018-11-30,0
2018-12-01,0
2018-12-02,0
2018-12-03,0
2018-12-04,0
2018-12-05,0
2018-12-06,0
2018-12-07,0
2018-12-08,0
2018-12-09,0
2018-12-10,0
2018-12-11,0
2018-12-12,0
2018-12-13,0
2018-12-14,0
2018-12-15,0
2018-12-16,0
2018-12-17,0
2018-12-18,0
2018-12-19,0
2018-12-20,0
2018-12-21,0
2018-12-22,0
2018-12-23,0
2018-12-24,0
2018-12-25,0
2018-12-27,0
2018-12-28,0
2018-12-29,0
2018-12-30,0
2018-12-31,0
2019-01-01,172
2019-01-02,125
2019-01-03,130
2019-01-04,110
2019-01-05,122
2019-01-06,135
2019-01-07,58
2019-01-08,98
2019-01-09,128
2019-01-10,19
2019-01-11,132
2019-01-12,125
2019-01-13,120
2019-01-14,98
2019-01-15,127
2019-01-16,96
2019-01-17,135
2019-01-18,113
2019-01-19,157
2019-01-20,55
2019-01-21,131
2019-01-22,152
2019-01-23,103
2019-01-24,115
2019-01-25,92
2019-01-26,120
2019-01-27,96
2019-01-28,66
2019-01-29,77
2019-01-30,71
2019-01-31,124
2019-02-01,128
2019-02-02,142
2019-02-03,91
2019-02-04,101
2019-02-05,95
2019-02-06,130
2019-02-07,0
2019-02-08,0
2019-02-10,0
2019-02-11,0
2019-02-12,0
2019-02-13,0
2019-02-14,0
2019-02-15,0
2019-02-16,0
2019-02-18,0
2019-02-19,0
2019-02-20,0
2019-02-21,0
2019-02-22,0
2019-02-24,0
2019-02-25,0
2019-02-26,0
2019-03-10,0
2019-03-11,0
2019-03-12,0
2019-03-13,0
2019-03-14,0
2019-03-15,0
2019-03-16,0
2019-03-17,0
2019-03-18,0
2019-03-19,0
2019-03-20,0
2019-03-21,0
2019-03-22,0
2019-03-23,0
2019-03-24,0
2019-03-25,0
2019-03-26,0
2019-03-27,0
2019-03-28,0
2019-03-29,0
2019-03-30,0
2019-03-31,0
2019-04-01,116
2019-04-02,141
2019-04-03,145
2019-04-04,154
2019-04-05,134
2019-04-07,0
2019-04-08,0
2019-04-09,0
2019-04-10,0
2019-04-11,0
2019-04-12,0
2019-04-13,0
2019-04-14,0
2019-04-15,0
2019-04-16,0
2019-04-17,0
2019-04-18,0
2019-04-19,0
2019-04-20,0
2019-04-21,221
2019-04-22,112
2019-04-23,123
2019-04-24,113
2019-04-25,88
2019-04-26,43
2019-04-27,92
2019-04-28,127
2019-04-29,93
2019-04-30,84
2019-05-01,97
2019-05-02,83
2019-05-03,119
